[0.71899]: 1ba2B 2dri
1BA2_21_02_unrelaxed_rank_2_model_4: 0.7441 0.9862
1BA2_21_02_unrelaxed_rank_3_model_3: 0.7460 0.9886
1BA2_21_02_unrelaxed_rank_4_model_5: 0.7585 0.9802
1BA2_21_02_unrelaxed_rank_5_model_2: 0.7365 0.9880
1BA2_21_03_unrelaxed_rank_1_model_3: 0.7486 0.9874
1BA2_21_03_unrelaxed_rank_2_model_4: 0.7467 0.9838
1BA2_21_03_unrelaxed_rank_3_model_1: 0.7440 0.9864
1BA2_21_03_unrelaxed_rank_4_model_5: 0.7671 0.9626
1BA2_21_03_unrelaxed_rank_5_model_2: 0.7406 0.9861
1BA2_22_01_unrelaxed_rank_1_model_3: 0.7287 0.9679
1BA2_22_01_unrelaxed_rank_2_model_4: 0.7235 0.9647
1BA2_22_01_unrelaxed_rank_3_model_2: 0.7180 0.9695
1BA2_22_01_unrelaxed_rank_4_model_5: 0.7531 0.9538
1BA2_22_01_unrelaxed_rank_5_model_1: 0.7266 0.9620
1BA2_22_02_unrelaxed_rank_1_model_3: 0.7235 0.9706
1BA2_22_02_unrelaxed_rank_2_model_1: 0.7266 0.9660
1BA2_22_02_unrelaxed_rank_3_model_4: 0.7208 0.9622
1BA2_22_02_unrelaxed_rank_4_model_2: 0.7133 0.9693
1BA2_22_02_unrelaxed_rank_5_model_5: 0.7343 0.9532
1BA2_22_03_unrelaxed_rank_1_model_3: 0.7184 0.9652
1BA2_22_03_unrelaxed_rank_2_model_4: 0.7215 0.9639
1BA2_22_03_unrelaxed_rank_3_model_2: 0.7204 0.9691
1BA2_22_03_unrelaxed_rank_4_model_1: 0.7184 0.9611
1BA2_22_03_unrelaxed_rank_5_model_5: 0.7362 0.9517
1BA2_23_01_unrelaxed_rank_1_model_3: 0.7377 0.9674
1BA2_23_01_unrelaxed_rank_2_model_4: 0.7402 0.9626
1BA2_23_01_unrelaxed_rank_3_model_2: 0.7253 0.9660
1BA2_23_01_unrelaxed_rank_4_model_1: 0.7437 0.9633
1BA2_23_01_unrelaxed_rank_5_model_5: 0.7758 0.9260
1BA2_23_02_unrelaxed_rank_1_model_3: 0.7382 0.9660
1BA2_23_02_unrelaxed_rank_2_model_2: 0.7380 0.9649
1BA2_23_02_unrelaxed_rank_3_model_1: 0.7514 0.9498
1BA2_23_02_unrelaxed_rank_4_model_4: 0.7394 0.9644
1BA2_23_02_unrelaxed_rank_5_model_5: 0.7727 0.9327
1BA2_23_03_unrelaxed_rank_1_model_3: 0.7427 0.9635
1BA2_23_03_unrelaxed_rank_2_model_2: 0.7379 0.9638
1BA2_23_03_unrelaxed_rank_3_model_4: 0.7396 0.9594
1BA2_23_03_unrelaxed_rank_4_model_1: 0.7525 0.9496
1BA2_23_03_unrelaxed_rank_5_model_5: 0.7724 0.9329
1BA2_25_01_unrelaxed_rank_1_model_4: 0.7151 0.9702
1BA2_25_01_unrelaxed_rank_2_model_3: 0.7236 0.9755
1BA2_25_01_unrelaxed_rank_3_model_1: 0.7274 0.9844
1BA2_25_01_unrelaxed_rank_4_model_2: 0.7250 0.9868
1BA2_25_01_unrelaxed_rank_5_model_5: 0.7378 0.9657
1BA2_25_02_unrelaxed_rank_1_model_3: 0.7251 0.9849
1BA2_25_02_unrelaxed_rank_2_model_4: 0.7130 0.9772
1BA2_25_02_unrelaxed_rank_3_model_1: 0.7212 0.9865
1BA2_25_02_unrelaxed_rank_4_model_2: 0.7216 0.9874
1BA2_25_02_unrelaxed_rank_5_model_5: 0.7345 0.9784
1BA2_25_03_unrelaxed_rank_1_model_4: 0.7111 0.9723
1BA2_25_03_unrelaxed_rank_2_model_3: 0.7200 0.9770
1BA2_25_03_unrelaxed_rank_3_model_1: 0.7399 0.9666
1BA2_25_03_unrelaxed_rank_4_model_2: 0.7240 0.9871
1BA2_25_03_unrelaxed_rank_5_model_5: 0.7308 0.9767
1BA2_26_01_unrelaxed_rank_1_model_4: 0.7370 0.9781
1BA2_26_01_unrelaxed_rank_2_model_3: 0.7421 0.9801
1BA2_26_01_unrelaxed_rank_3_model_2: 0.7383 0.9789
1BA2_26_01_unrelaxed_rank_4_model_5: 0.7476 0.9748
1BA2_26_01_unrelaxed_rank_5_model_1: 0.7543 0.9637
1BA2_26_02_unrelaxed_rank_1_model_4: 0.7430 0.9798
1BA2_26_02_unrelaxed_rank_2_model_1: 0.7406 0.9765
1BA2_26_02_unrelaxed_rank_3_model_3: 0.7409 0.9785
1BA2_26_02_unrelaxed_rank_4_model_2: 0.7355 0.9777
1BA2_26_02_unrelaxed_rank_5_model_5: 0.7550 0.9677
1BA2_26_03_unrelaxed_rank_1_model_4: 0.7421 0.9787
1BA2_26_03_unrelaxed_rank_2_model_2: 0.7389 0.9788
1BA2_26_03_unrelaxed_rank_3_model_5: 0.7459 0.9760
1BA2_26_03_unrelaxed_rank_4_model_3: 0.7473 0.9645
1BA2_26_03_unrelaxed_rank_5_model_1: 0.7597 0.9543
1BA2_27_01_unrelaxed_rank_1_model_3: 0.7155 0.9684
1BA2_27_01_unrelaxed_rank_2_model_4: 0.7575 0.9679
1BA2_27_01_unrelaxed_rank_3_model_2: 0.7726 0.9588
1BA2_27_01_unrelaxed_rank_4_model_1: 0.7362 0.9746
1BA2_27_01_unrelaxed_rank_5_model_5: 0.7720 0.9597
1BA2_27_02_unrelaxed_rank_1_model_4: 0.7576 0.9667
1BA2_27_02_unrelaxed_rank_2_model_3: 0.7342 0.9719
1BA2_27_02_unrelaxed_rank_3_model_1: 0.7289 0.9756
1BA2_27_02_unrelaxed_rank_4_model_2: 0.7932 0.9383
1BA2_27_02_unrelaxed_rank_5_model_5: 0.8018 0.8552
1BA2_27_03_unrelaxed_rank_1_model_3: 0.7180 0.9709
1BA2_27_03_unrelaxed_rank_2_model_1: 0.7168 0.9668
1BA2_27_03_unrelaxed_rank_3_model_2: 0.7499 0.9699
1BA2_27_03_unrelaxed_rank_4_model_4: 0.7252 0.9705
1BA2_27_03_unrelaxed_rank_5_model_5: 0.7666 0.9656
